ts,price,action,charge_mwh_from_grid,discharge_mwh_to_grid,soc_mwh,cashflow_eur,cum_pnl_eur
2025-04-30 20:00:00,93.76,discharge,0.0,0.0,0.0,0.0,0.0
2025-04-30 21:00:00,85.87,discharge,0.0,0.0,0.0,0.0,0.0
2025-04-30 22:00:00,79.42,charge,5.0,0.0,4.743416490252569,-397.1,-397.1
2025-04-30 23:00:00,74.87,charge,5.0,0.0,9.486832980505138,-374.35,-771.45
2025-05-01 00:00:00,69.87,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 01:00:00,66.09,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 02:00:00,63.78,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 03:00:00,59.02,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 04:00:00,45.19,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 05:00:00,13.73,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 06:00:00,1.1,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 07:00:00,-2.99,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 08:00:00,-3.5,idle,0.0,0.0,9.486832980505138,0.0,-771.45
2025-05-01 09:00:00,-3.98,charge,0.5409255338945976,0.0,10.0,2.1528836249004986,-769.2971163750996
2025-05-01 10:00:00,-6.28,charge,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 11:00:00,-1.99,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 12:00:00,2.19,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 13:00:00,32.81,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 14:00:00,58.54,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 15:00:00,63.07,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 16:00:00,66.08,idle,0.0,0.0,10.0,0.0,-769.2971163750996
2025-05-01 17:00:00,88.74,discharge,0.0,5.0,4.729537233052701,443.7,-325.5971163750996
2025-05-01 18:00:00,93.77,discharge,0.0,4.486832980505138,0.0,420.7303285819668,95.1332122068672
2025-05-01 19:00:00,63.87,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-01 20:00:00,61.09,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-01 21:00:00,56.87,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-01 22:00:00,53.6,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-01 23:00:00,52.68,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 00:00:00,51.72,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 01:00:00,53.21,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 02:00:00,58.64,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 03:00:00,58.51,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 04:00:00,50.85,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 05:00:00,49.58,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 06:00:00,1.01,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 07:00:00,0.01,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 08:00:00,-0.81,idle,0.0,0.0,0.0,0.0,95.1332122068672
2025-05-02 09:00:00,-2.9,charge,5.0,0.0,4.743416490252569,14.5,109.6332122068672
2025-05-02 10:00:00,-2.74,charge,5.0,0.0,9.486832980505138,13.700000000000001,123.3332122068672
2025-05-02 11:00:00,-0.4,idle,0.0,0.0,9.486832980505138,0.0,123.3332122068672
2025-05-02 12:00:00,0.5,idle,0.0,0.0,9.486832980505138,0.0,123.3332122068672
2025-05-02 13:00:00,8.15,idle,0.0,0.0,9.486832980505138,0.0,123.3332122068672
2025-05-02 14:00:00,56.02,idle,0.0,0.0,9.486832980505138,0.0,123.3332122068672
2025-05-02 15:00:00,60.27,idle,0.0,0.0,9.486832980505138,0.0,123.3332122068672
2025-05-02 16:00:00,66.47,discharge,0.0,5.0,4.216370213557839,332.35,455.6832122068672
2025-05-02 17:00:00,66.02,discharge,0.0,4.0,0.0,264.08,719.7632122068671
2025-05-02 18:00:00,61.25,idle,0.0,0.0,0.0,0.0,719.7632122068671
